,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
326,"Activation: softplus, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.668,97.834,97.82,97.92999999999999,44
327,"Activation: softplus, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.676,97.812,97.75,98.00999999999999,33
328,"Activation: softplus, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.999000, Schedule Decay: 0.004000, Normalized data",97.614,97.76800000000001,97.65,97.96000000000001,40
329,"Activation: softplus, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.64200000000001,97.758,97.71,97.92999999999999,48
330,"Activation: softplus, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.456,97.706,97.64,97.84,28
331,"Activation: softplus, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",96.96199999999999,97.66,97.06,97.82,21
332,"Activation: softplus, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",96.954,97.68,97.05,97.86,23
333,"Activation: softplus, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.44800000000001,97.77799999999999,97.65,98.02,18
334,"Activation: softsign, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: False, Normalized data",96.426,96.426,96.59,96.59,99
335,"Activation: softsign, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: False, Normalized data",97.492,97.532,97.61,97.68,95
336,"Activation: softsign, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: False, Normalized data",97.66199999999999,97.704,97.82,97.82,85
337,"Activation: softsign, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: False, Normalized data",97.57999999999998,97.57999999999998,97.74000000000001,97.87,99
338,"Activation: softsign, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: False, Normalized data",16.451999999999998,89.35600000000001,21.029999999999998,90.21000000000001,0
339,"Activation: softsign, Optimizer: sgd, Momentum: 0.000000, Decay: 0.000000, Nesterov: True, Normalized data",96.248,96.248,96.48,96.48,99
340,"Activation: softsign, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: True, Normalized data",96.384,96.384,96.47,96.48,99
341,"Activation: softsign, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: True, Normalized data",97.49400000000001,97.554,97.66,97.71,93
342,"Activation: softsign, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: True, Normalized data",97.65999999999998,97.67999999999999,97.78999999999999,97.83,92
343,"Activation: softsign, Optimizer: sgd, Momentum: 0.990000, Decay: 0.000000, Nesterov: True, Normalized data",97.438,97.49400000000001,97.61,97.71,98
344,"Activation: softsign, Optimizer: sgd, Momentum: 0.999000, Decay: 0.000000, Nesterov: True, Normalized data",18.701999999999998,90.17199999999998,29.64,90.53,1
345,"Activation: softsign, Optimizer: rmsp, rho: 0.500000, Decay: 0.000000, Normalized data",96.94800000000001,97.03200000000001,97.06,97.21,94
346,"Activation: softsign, Optimizer: rmsp, rho: 0.990000, Decay: 0.000000, Normalized data",97.50999999999999,97.57000000000001,97.58,97.69,95
347,"Activation: softsign, Optimizer: rmsp, rho: 0.950000, Decay: 0.000000, Normalized data",97.55,97.57400000000001,97.67,97.68,88
348,"Activation: softsign, Optimizer: rmsp, rho: 0.999000, Decay: 0.000000, Normalized data",97.52600000000001,97.52600000000001,97.57000000000001,97.74000000000001,99
349,"Activation: softsign, Optimizer: rmsp, rho: 0.999900, Decay: 0.000000, Normalized data",97.38799999999999,97.428,97.52,97.61999999999999,87
350,"Activation: softsign, Optimizer: Adadelta, rho: 0.500000, Decay: 0.000000, Normalized data",97.248,97.272,97.33000000000001,97.4,97
351,"Activation: softsign, Optimizer: Adadelta, rho: 0.900000, Decay: 0.000000, Normalized data",97.594,97.60799999999999,97.69,97.75,96
352,"Activation: softsign, Optimizer: Adadelta, rho: 0.990000, Decay: 0.000000, Normalized data",97.646,97.684,97.78,97.84,89
353,"Activation: softsign, Optimizer: Adadelta, rho: 0.999000, Decay: 0.000000, Normalized data",97.53399999999999,97.66,97.7,97.78999999999999,98
354,"Activation: softsign, Optimizer: Adadelta, rho: 0.999900, Decay: 0.000000, Normalized data",97.526,97.6,97.66,97.84,98
355,"Activation: softsign, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.514,97.58200000000001,97.54,97.77,98
356,"Activation: softsign, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.462,97.498,97.57000000000001,97.65,61
357,"Activation: softsign, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.49000000000001,97.57399999999998,97.86,97.86,77
358,"Activation: softsign, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.54599999999999,97.59,97.66,97.72,79
359,"Activation: softsign, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.49600000000001,97.576,97.68,97.72999999999999,80
360,"Activation: softsign, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.47,97.52600000000001,97.55,97.68,94
361,"Activation: softsign, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.45000000000002,97.55,97.55,97.72999999999999,79
362,"Activation: softsign, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.402,97.514,97.50999999999999,97.72999999999999,93
363,"Activation: softsign, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.48400000000001,97.48599999999999,97.53,97.61,98
364,"Activation: softsign, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.47399999999999,97.5,97.61,97.72999999999999,92
365,"Activation: softsign, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.586,97.586,97.76,97.76,99
