,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
533,elu,sgd,Default,Std,97.83800000000001,97.848,97.97,98.04,96
822,softplus,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Std,97.70400000000001,97.846,97.78,98.00999999999999,21
318,softplus,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.9999",Normd,97.74800000000002,97.84599999999999,97.87,98.02,86
720,elu,sgd,"Momentum: 0.95, Nesterov: True",Std,97.78999999999999,97.844,97.88,98.03,73
19,relu,Adamax,Default,Normd,97.72799999999998,97.844,97.8,97.98,54
319,softplus,Adamax,"beta_1: 0.99, beta_2: 0.9999",Normd,97.84,97.84,97.88,97.96000000000001,99
694,relu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Std,97.70400000000001,97.836,97.85000000000001,98.00999999999999,41
320,softplus,Adamax,"beta_1: 0.99, beta_2: 0.999",Normd,97.836,97.836,97.95,97.96000000000001,99
326,softplus,Adamax,"beta_1: 0.9, beta_2: 0.95",Normd,97.668,97.834,97.82,97.92999999999999,44
291,softplus,sgd,"Momentum: 0.9, Nesterov: False",Normd,97.83200000000001,97.83200000000001,97.96000000000001,97.99,99
546,softplus,adam,Default,Std,97.638,97.83000000000001,97.76,98.0,19
801,softplus,sgd,"Momentum: 0.9, Nesterov: False",Std,97.78399999999999,97.83000000000001,97.87,98.02,88
826,softplus,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Std,97.78399999999999,97.83,97.95,98.07000000000001,44
818,softplus,Adadelta,rho: 0.99,Std,97.774,97.828,97.87,97.99,65
222,elu,Adadelta,rho: 0.9999,Normd,97.718,97.82600000000001,97.99,98.11,79
795,selu,Nadam,"beta_1: 0.95, beta_2: 0.99",Std,97.618,97.82600000000001,97.8,98.1,46
311,softplus,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Normd,97.732,97.82600000000001,97.8,98.00999999999999,74
823,softplus,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Std,97.72999999999999,97.82400000000001,97.99,98.02,26
764,selu,sgd,"Momentum: 0.95, Nesterov: True",Std,97.70200000000001,97.82399999999998,97.9,98.02,74
275,selu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Normd,97.782,97.822,97.87,97.98,98
323,softplus,Adamax,"beta_1: 0.95, beta_2: 0.95",Normd,97.654,97.822,97.71,98.0,47
297,softplus,sgd,"Momentum: 0.9, Nesterov: True",Normd,97.79800000000002,97.82,97.91,98.02,95
188,relu,Adamax,"beta_1: 0.99, beta_2: 0.999",Normd,97.742,97.81800000000001,97.92,97.97,74
812,softplus,rmsp,rho: 0.99,Std,97.68599999999999,97.81600000000002,97.72999999999999,97.98,26
825,softplus,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Std,97.74,97.81400000000001,97.87,97.99,45
327,softplus,Nadam,"beta_1: 0.9, beta_2: 0.99",Normd,97.676,97.812,97.75,98.00999999999999,33
213,elu,rmsp,rho: 0.5,Normd,97.736,97.81,97.91,97.96000000000001,94
41,softplus,Nadam,Default,Normd,97.60199999999999,97.808,97.64,97.98,41
314,softplus,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.9999",Normd,97.78799999999998,97.80799999999999,97.92,97.98,76
758,selu,sgd,"Momentum: 0.95, Nesterov: False",Std,97.64999999999999,97.80799999999999,97.88,97.98,97
165,relu,sgd,"Momentum: 0.9, Nesterov: True",Normd,97.72399999999999,97.806,97.8,98.02,65
794,selu,Nadam,"beta_1: 0.95, beta_2: 0.999",Std,97.65,97.804,97.72,98.05,90
292,softplus,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.75399999999999,97.8,97.84,97.95,95
817,softplus,Adadelta,rho: 0.9,Std,97.59,97.798,97.67,97.96000000000001,73
122,tanh,sgd,"Momentum: 0.95, Nesterov: True",Normd,97.698,97.796,97.72999999999999,97.92,96
298,softplus,sgd,"Momentum: 0.95, Nesterov: True",Normd,97.70800000000001,97.794,97.86,97.98,89
821,softplus,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.9999",Std,97.57200000000002,97.79200000000002,97.77,97.98,86
544,selu,Nadam,Default,Std,97.602,97.79199999999999,97.77,97.96000000000001,29
187,relu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Normd,97.75600000000001,97.78800000000001,97.9,98.00999999999999,88
699,relu,Adamax,"beta_1: 0.95, beta_2: 0.999",Std,97.65,97.782,97.76,97.92,63
186,relu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.9999",Normd,97.668,97.782,97.85000000000001,98.03,95
159,relu,sgd,"Momentum: 0.9, Nesterov: False",Normd,97.73399999999998,97.782,97.83,97.95,91
333,softplus,Nadam,"beta_1: 0.9, beta_2: 0.95",Normd,97.44800000000001,97.77799999999999,97.65,98.02,18
749,elu,Nadam,"beta_1: 0.9, beta_2: 0.99",Std,97.542,97.77600000000002,97.66,97.92999999999999,40
115,tanh,sgd,"Momentum: 0.9, Nesterov: False",Normd,97.712,97.776,97.84,97.9,82
145,tanh,Adamax,"beta_1: 0.95, beta_2: 0.999",Normd,97.688,97.776,97.84,97.95,96
